epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0
1,1.8200055725483508,2.426675431778285,2.0244255670774676,0.20243328864613253,0.1549129555084032,0.15900005935089895,0.090911976034169,0.0007943282347242815
2,1.7711119875386125,2.3482021699954676,1.9640592539006339,0.22448844111225347,0.17706284391462274,0.20321334428048837,0.11619194835820446,0.0006309573444801933
3,1.7570572343105595,2.2579191465478843,1.9341840677640925,0.2682002997349032,0.22719214657466905,0.2439208996405905,0.13946743839522305,0.0005011872336272722
4,1.6989154680410405,2.2395900375255686,1.9421826478338873,0.3338180925997847,0.2567655274651827,0.2863083708773754,0.16370345934363803,0.00039810717055349724
5,1.6565143475192599,2.1491198572750387,1.8667483973862453,0.35931942315733734,0.32246618079265177,0.34154423812369566,0.19528584905986943,0.00031622776601683794
6,1.5893325764856103,2.0881130934557977,1.8958826282900885,0.42115271966864426,0.33977483673858677,0.3813517515160375,0.21804671920217344,0.000251188643150958
7,1.5839112798137127,2.0101130746653473,1.8445952806219328,0.4661975487627285,0.3863414743312868,0.42830115990025097,0.2448911336462231,0.00019952623149688798
8,1.5629714197567668,1.9633434220511723,1.830956852434685,0.5228030187516098,0.41482333072771893,0.47052327004006916,0.2690326055476391,0.00015848931924611134
9,1.5057745454429594,1.8692409961159533,1.8135812413581986,0.5653087052427755,0.4781165645986974,0.5138334060527711,0.29379618150665077,0.00012589254117941674
10,1.5057414102856934,1.8384951449565268,1.7650549620560052,0.6305965316358797,0.4945406780736937,0.5611785431401918,0.32086686302587564,0.0001
11,1.4299233588333227,1.7255625863901372,1.7588016477304902,0.6660072129938399,0.5486431557348087,0.6067061993479513,0.346898357648889,7.943282347242814e-05
12,1.3941691283791176,1.703130519017547,1.7125671189989389,0.6864387681441396,0.5688487907571073,0.6477758834730206,0.3703809032161783,6.309573444801933e-05
13,1.3677077726741305,1.6333202578523958,1.697529867162041,0.7695346335893716,0.624783456635144,0.6930796351116817,0.396284375202578,5.011872336272723e-05
14,1.3332882783219107,1.5457937648292654,1.6668345949197028,0.8107596230056634,0.6773648036659392,0.7418972617926016,0.42419698683919566,3.9810717055349735e-05
15,1.3440753266367726,1.4830832486165164,1.648511099218746,0.8590104152047962,0.7027626810853329,0.7796108998581325,0.4457606351420444,3.1622776601683795e-05
16,1.297119209949444,1.4157857722491989,1.607354577315675,0.9063719629571965,0.7454146085506713,0.8188470446380498,0.4681948120125882,2.5118864315095798e-05
17,1.2518557719698027,1.3527520474120305,1.596991024765877,0.9252368688954418,0.7501616421480429,0.8325103081233336,0.47600710018149595,1.99526231496888e-05
18,1.210046030339829,1.285054403856273,1.5357801014639592,0.9025307480198185,0.7268343067191858,0.8280105745386801,0.4734342730172912,1.5848931924611134e-05
19,1.1445276179302926,1.2672042233304404,1.5677655408636975,0.9106747682430013,0.747601127740494,0.8310140234730199,0.4751515646878305,1.2589254117941675e-05
20,1.117780308448228,1.1454359390629132,1.5309546034257253,0.9074183305858304,0.7417902535830186,0.8273666177345229,0.47306607576135573,1e-05
