epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.034,1.82044,2.37139,2.01254,0.11418,0.08478,0.0332,0.00152,0.00741,2.8188,9.17935,4.32878,0.0670721,0.000332606,0.000332606
2,322.087,1.80136,2.12383,2.02877,0.08522,0.27283,0.06786,0.01799,0.02678,2.13641,3.06586,2.12536,0.034068,0.00066188,0.00066188
3,450.294,1.80948,2.08172,2.00849,0.20619,0.19674,0.15814,0.04078,0.06305,2.15367,2.92915,2.38614,0.00104784,0.000975063,0.000975063
4,577.674,1.82067,2.11514,2.04694,0.13083,0.14891,0.09875,0.01099,0.03135,2.36859,3.26816,2.44736,0.000946048,0.000946048,0.000946048
5,705.188,1.73236,2.01947,1.96964,0.31846,0.28696,0.24237,0.03277,0.08101,2.1436,2.66446,2.16862,0.000905463,0.000905463,0.000905463
6,831.754,1.70268,1.97368,1.92098,0.47853,0.38702,0.41202,0.14514,0.18689,1.8805,2.19971,1.91118,0.000855018,0.000855018,0.000855018
7,981.707,1.63539,1.88403,1.88827,0.62636,0.49565,0.56584,0.29684,0.29712,1.67872,1.76338,1.78654,0.000795954,0.000795954,0.000795954
8,1133.18,1.58597,1.76197,1.82355,0.68732,0.53261,0.61224,0.22114,0.29014,1.79685,1.58333,1.84925,0.000729725,0.000729725,0.000729725
9,1286.63,1.56437,1.68811,1.80826,0.72492,0.55326,0.65343,0.32777,0.34564,1.68216,1.483,1.75904,0.000657963,0.000657963,0.000657963
10,1437.89,1.48118,1.55982,1.73225,0.70845,0.55732,0.65809,0.42089,0.38345,1.52906,1.43739,1.62163,0.000582435,0.000582435,0.000582435
11,1599.02,1.45632,1.52168,1.71095,0.72346,0.55761,0.65796,0.17646,0.29677,1.87155,1.47715,1.87167,0.000505,0.000505,0.000505
12,1760.88,1.43782,1.43973,1.69133,0.81057,0.57065,0.70844,0.25514,0.34678,1.785,1.33203,1.79258,0.000427565,0.000427565,0.000427565
13,1924.35,1.40239,1.36187,1.66739,0.76068,0.60806,0.72011,0.2605,0.35044,1.77882,1.2964,1.76414,0.000352037,0.000352037,0.000352037
14,2084.12,1.38346,1.34073,1.6475,0.83908,0.59457,0.73739,0.4744,0.43068,1.52519,1.22094,1.58789,0.000280275,0.000280275,0.000280275
15,2236.11,1.34831,1.29352,1.62363,0.79993,0.64565,0.7523,0.48523,0.4354,1.52068,1.18438,1.58765,0.000214046,0.000214046,0.000214046
16,2389.5,1.3277,1.25809,1.59365,0.81374,0.66522,0.767,0.54778,0.46121,1.45374,1.12506,1.5311,0.000154982,0.000154982,0.000154982
17,2538.58,1.29806,1.19667,1.56038,0.8212,0.67391,0.77859,0.54259,0.46081,1.46818,1.1069,1.54509,0.000104537,0.000104537,0.000104537
18,2684.28,1.28058,1.16572,1.54274,0.80576,0.68536,0.7774,0.53753,0.45636,1.48793,1.11251,1.54809,6.39518e-05,6.39518e-05,6.39518e-05
19,2834.87,1.28725,1.16613,1.56312,0.84686,0.65978,0.77573,0.48467,0.42704,1.59735,1.12685,1.62909,3.4227e-05,3.4227e-05,3.4227e-05
20,2986.85,1.27066,1.1434,1.53927,0.83315,0.6676,0.77935,0.48386,0.42784,1.59492,1.11932,1.62686,1.60943e-05,1.60943e-05,1.60943e-05
