epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.913,1.64706,2.14346,1.90749,0.15727,0.07609,0.04723,0.00672,0.01582,2.3102,4.15584,2.40735,0.0670721,0.000332606,0.000332606
2,391.202,1.66203,1.93275,1.95203,0.22137,0.35661,0.18044,0.04576,0.07332,1.87258,2.66259,2.08003,0.034068,0.00066188,0.00066188
3,570.254,1.63201,1.88244,1.94921,0.27189,0.33804,0.21301,0.05367,0.08396,2.02075,2.64472,2.19722,0.00104784,0.000975063,0.000975063
4,744.051,1.6486,1.89056,1.96583,0.43745,0.37826,0.38714,0.13418,0.17504,1.85692,2.18082,2.05892,0.000946048,0.000946048,0.000946048
5,918.962,1.5654,1.77774,1.91377,0.56703,0.51848,0.5427,0.20117,0.25989,1.68521,1.61596,1.88893,0.000905463,0.000905463,0.000905463
6,1093.96,1.49541,1.64851,1.83174,0.56875,0.54674,0.58508,0.30511,0.31401,1.60947,1.57608,1.78265,0.000855018,0.000855018,0.000855018
7,1268.18,1.44344,1.58487,1.79012,0.68395,0.581,0.66439,0.38187,0.37203,1.53283,1.36888,1.69162,0.000795954,0.000795954,0.000795954
8,1441.22,1.40401,1.4809,1.7278,0.72827,0.60435,0.69715,0.41665,0.38968,1.48953,1.26536,1.65935,0.000729725,0.000729725,0.000729725
9,1618.69,1.38286,1.39439,1.70552,0.81883,0.58478,0.73531,0.456,0.41435,1.49257,1.18759,1.64364,0.000657963,0.000657963,0.000657963
10,1791.44,1.32827,1.32126,1.66182,0.81355,0.6087,0.74868,0.43506,0.4139,1.51258,1.16373,1.66456,0.000582435,0.000582435,0.000582435
11,1976.2,1.31749,1.27089,1.65984,0.80151,0.64961,0.77059,0.49269,0.43861,1.50853,1.09352,1.6572,0.000505,0.000505,0.000505
12,2155.96,1.28665,1.21319,1.64067,0.82551,0.6531,0.77946,0.47901,0.44464,1.5169,1.05487,1.66921,0.000427565,0.000427565,0.000427565
13,2339.41,1.24271,1.12243,1.60344,0.77455,0.6913,0.78639,0.5285,0.45403,1.49884,1.02108,1.63574,0.000352037,0.000352037,0.000352037
14,2522.72,1.22484,1.09116,1.58237,0.81455,0.68271,0.7972,0.57165,0.47719,1.4394,1.00305,1.60371,0.000280275,0.000280275,0.000280275
15,2702.13,1.19645,1.03132,1.55593,0.8164,0.72015,0.81514,0.59757,0.49816,1.39837,0.96357,1.58793,0.000214046,0.000214046,0.000214046
16,2879.19,1.19199,1.00577,1.54595,0.89488,0.68477,0.82349,0.65034,0.5234,1.33543,0.92571,1.52364,0.000154982,0.000154982,0.000154982
17,3060.79,1.15912,0.95163,1.51144,0.89894,0.68587,0.82233,0.65269,0.51659,1.34606,0.92085,1.52599,0.000104537,0.000104537,0.000104537
18,3242.73,1.14992,0.93667,1.49408,0.87371,0.69936,0.82555,0.6287,0.50237,1.41621,0.9328,1.58692,6.39518e-05,6.39518e-05,6.39518e-05
19,3422.8,1.15028,0.9283,1.51023,0.87924,0.6964,0.82452,0.50693,0.46255,1.56168,0.95069,1.69146,3.4227e-05,3.4227e-05,3.4227e-05
20,3604.57,1.13618,0.91241,1.48531,0.85641,0.71304,0.82598,0.53902,0.47604,1.51662,0.93722,1.65837,1.60943e-05,1.60943e-05,1.60943e-05
